CATAID,Z,nQ,Z_TONRY,logmstar,dellogmstar,logage,dellogage,metal,delmetal,gminusi,delgminusi,CATAID.1,X,Y,Z.1,d,GroupID,BranchID,FilID,CATAID.2,X.1,Y.1,Z.2,TendrilID
543849,0.18284,4,0.183863,10.3309,0.103208,9.82867,0.167472,0.0100256,0.00750027,1.06029,0.0606708,543849.0,41.1791516022206,529.666337629887,-8.42532623956948,1.69068,0.0,1500640002.0,150064.0,,,,,
543856,0.13741,4,0.138393,10.5869,0.0940251,9.86085,0.156361,0.0108707,0.00751802,1.12839,0.0498365,543856.0,30.9681977084451,402.501488806247,-6.15757821713583,1.26418,307175.0,1500100004.0,150010.0,,,,,
543859,0.05383,5,0.0547405,10.7604,0.123021,9.79698,0.23262,0.0110192,0.00975058,1.14644,0.0431977,543859.0,12.310753808855,161.903742258333,-2.93744107475969,0.146794,301311.0,1500380003.0,150038.0,,,,,
543863,0.18624,4,0.187266,10.276,0.107952,9.8159,0.176411,0.00964632,0.00737786,1.01999,0.0629927,543863.0,41.8196962323235,539.094541417997,-8.1657834368385,0.288629,302729.0,1500080013.0,150008.0,,,,,
543864,0.18603,4,0.187056,10.4775,0.0993031,9.81522,0.174776,0.00930146,0.00708969,0.968174,0.0489367,543864.0,41.7523998797744,538.511015639041,-8.44443209597067,0.582623,302729.0,1500080013.0,150008.0,,,,,
543866,0.18195,4,0.182972,10.5137,0.0989946,9.83017,0.167923,0.0109471,0.00782453,1.13122,0.05637,543866.0,40.7858546459448,527.200541134908,-9.22138599669844,0.603273,0.0,1500640002.0,150064.0,,,,,
543867,0.18161,4,0.182632,10.5372,0.100829,9.83674,0.163573,0.00875263,0.00688766,1.08299,0.052589,543867.0,40.6949117670358,526.25310316485,-9.5596339677225,1.43248,307176.0,1500640002.0,150064.0,,,,,
543869,0.17353,4,0.174545,10.4846,0.105485,9.81905,0.178982,0.00948001,0.00732514,1.03414,0.0506507,543869.0,38.8283178920673,503.826665691399,-8.51372458088182,3.19489,0.0,1500650001.0,150065.0,,,,,
543870,0.1383,4,0.139284,10.5052,0.0980002,9.84897,0.167434,0.00868019,0.0069721,0.99442,0.0493271,543870.0,31.1773943112893,405.01755652009,-6.12458428281954,1.26183,307175.0,1500100004.0,150010.0,,,,,
543878,0.18628,4,0.187306,9.90104,0.121389,9.71537,0.215779,0.0063078,0.00594977,0.570989,0.0544247,543878.0,41.8101042954348,539.204455788326,-8.32206587415108,0.173585,302729.0,1500080013.0,150008.0,,,,,
543879,0.18264,4,0.183663,10.2988,0.108286,9.8164,0.177324,0.00646892,0.00604902,0.890436,0.0550578,543879.0,40.9781138272752,529.10523304005,-9.53989398621646,1.43531,307176.0,1500640002.0,150064.0,,,,,
543892,0.18761,4,0.188634,10.7248,0.0987773,9.82138,0.17158,0.00907721,0.00699993,0.957037,0.0466584,543892.0,40.4565740455187,542.984617893502,-9.35792171257959,0.346188,307178.0,1500080051.0,150008.0,,,,,
543893,0.12055,5,0.121516,10.5345,0.104206,9.83164,0.18095,0.00800812,0.00678495,0.922808,0.0476272,543893.0,26.3389972986252,354.708500925316,-5.59262060457285,0.773658,300492.0,1500560001.0,150056.0,,,,,
543898,0.12229,4,0.123259,10.4444,0.0991146,9.85302,0.167826,0.00957719,0.00766082,1.12406,0.0491056,543898.0,26.9354861550634,359.635182860106,-6.54608374011912,1.2572,300322.0,1500560001.0,150056.0,,,,,
543899,0.12058,4,0.121547,10.7127,0.123744,9.65498,0.257479,0.0126571,0.0069489,0.622442,0.0371445,543899.0,26.5772875894376,354.764346485952,-6.4779938413569,3.62741,300322.0,1500560001.0,150056.0,,,,,
543901,0.18747,4,0.188494,10.7649,0.109175,9.76871,0.206153,0.0145769,0.00773684,0.969702,0.0416273,543901.0,40.4248503771755,542.601942267065,-9.06501174495394,0.194459,307178.0,1500080051.0,150008.0,,,,,
